timestamp,model,strategy,epoch,loss,accuracy,phase,dataset_type,imbalance_factor,noise_level,artifact_level
2026-01-26T19:04:18.874824,resnet18,baseline,0,1.8686903407669067,0.41064,train,noisy,0,0.3,0
2026-01-26T19:07:19.484931,resnet18,baseline,1,1.587771216392517,0.5325,train,noisy,0,0.3,0
2026-01-26T19:10:33.959566,resnet18,baseline,2,1.4288479470062256,0.5852,train,noisy,0,0.3,0
2026-01-26T19:13:43.814748,resnet18,baseline,3,1.254532645225525,0.63076,train,noisy,0,0.3,0
2026-01-26T19:16:53.330417,resnet18,baseline,4,1.0486029931640626,0.6834,train,noisy,0,0.3,0
2026-01-26T19:20:03.216387,resnet18,baseline,5,0.8299436083602906,0.74682,train,noisy,0,0.3,0
2026-01-26T19:23:13.031305,resnet18,baseline,6,0.6379404901504516,0.79936,train,noisy,0,0.3,0
2026-01-26T19:26:22.967407,resnet18,baseline,7,0.47937745822906497,0.84784,train,noisy,0,0.3,0
2026-01-26T19:29:32.520057,resnet18,baseline,8,0.3802893908214569,0.8804,train,noisy,0,0.3,0
2026-01-26T19:32:41.614002,resnet18,baseline,9,0.30738759031295776,0.9021,train,noisy,0,0.3,0
2026-01-26T19:33:48.667034,resnet18,stagewise,0,2.0229350708643596,0.3204666666666667,train,noisy,0,0.3,0
2026-01-26T19:35:03.776531,resnet18,stagewise,1,1.8329845898310344,0.43106666666666665,train,noisy,0,0.3,0
2026-01-26T19:36:18.359818,resnet18,stagewise,2,1.7678819274902344,0.46546666666666664,train,noisy,0,0.3,0
2026-01-26T19:37:32.952857,resnet18,stagewise,3,1.5654581046422322,0.5312666666666667,train,noisy,0,0.3,0
2026-01-26T19:38:48.096310,resnet18,stagewise,4,1.4808888250986736,0.5606666666666666,train,noisy,0,0.3,0
2026-01-26T19:40:02.434113,resnet18,stagewise,5,1.347243788909912,0.5998,train,noisy,0,0.3,0
2026-01-26T19:42:13.773002,resnet18,stagewise,6,1.6864491191864013,0.50145,train,noisy,0,0.3,0
2026-01-26T19:43:58.350804,resnet18,stagewise,7,1.4260031665802002,0.5754,train,noisy,0,0.3,0
2026-01-26T19:45:43.701108,resnet18,stagewise,8,1.3070464601516725,0.60555,train,noisy,0,0.3,0
2026-01-26T19:46:54.685051,resnet18,stagewise,9,1.2363491649627685,0.6281,train,noisy,0,0.3,0
2026-01-26T19:51:00.062437,resnet18,static,0,1.4642360634010092,0.5664226569062762,train,noisy,0,0.3,0
2026-01-26T19:52:03.767224,resnet18,static,1,1.2398972913853534,0.6333853354134166,train,noisy,0,0.3,0
2026-01-26T19:53:07.544850,resnet18,static,2,0.9790015893724662,0.7074882995319812,train,noisy,0,0.3,0
2026-01-26T19:54:12.470739,resnet18,static,3,0.702042901385779,0.7884915396615865,train,noisy,0,0.3,0
2026-01-26T19:55:17.688444,resnet18,static,4,0.4809554178331646,0.8556942277691107,train,noisy,0,0.3,0
2026-01-26T19:56:23.567629,resnet18,static,5,0.3162283271669154,0.9089163566542662,train,noisy,0,0.3,0
2026-01-26T19:57:29.733747,resnet18,static,6,0.20952722017152475,0.9450978039121565,train,noisy,0,0.3,0
2026-01-26T19:58:35.994987,resnet18,static,7,0.16229441777349132,0.9578783151326054,train,noisy,0,0.3,0
2026-01-26T19:59:42.123393,resnet18,static,8,0.12792197367330424,0.9668186727469099,train,noisy,0,0.3,0
2026-01-26T20:00:49.751656,resnet18,static,9,0.11123241916733402,0.9700588023520941,train,noisy,0,0.3,0
2026-01-26T20:01:49.872324,resnet18,online,0,1.9979476270039875,0.34773333333333334,train,noisy,0,0.3,0
2026-01-26T20:02:49.754330,resnet18,online,1,1.7387689238230388,0.4686,train,noisy,0,0.3,0
2026-01-26T20:03:49.500316,resnet18,online,2,1.4493482533772786,0.5595333333333333,train,noisy,0,0.3,0
2026-01-26T20:04:49.460932,resnet18,online,3,1.1635478921890259,0.6456,train,noisy,0,0.3,0
2026-01-26T20:05:49.447106,resnet18,online,4,0.8671193850199381,0.7341333333333333,train,noisy,0,0.3,0
2026-01-26T20:06:49.624428,resnet18,online,5,0.596512297407786,0.8236,train,noisy,0,0.3,0
2026-01-26T20:07:50.562351,resnet18,online,6,0.3885193201382955,0.8926,train,noisy,0,0.3,0
2026-01-26T20:08:50.743909,resnet18,online,7,0.24525818608601888,0.9398,train,noisy,0,0.3,0
2026-01-26T20:09:50.355583,resnet18,online,8,0.18177956988016764,0.9552666666666667,train,noisy,0,0.3,0
2026-01-26T20:10:51.305260,resnet18,online,9,0.12981317227681477,0.9684,train,noisy,0,0.3,0
